0.296071,L_is.x,L_is.y,L_is.z,Delta_L,aCMDin.x,aCMDin.y,aCMDin.z,aCMDb.x,aCMDb.y,aCMDb.z,Throttle,Aileron,Rudder,Elevator
-0.007475,0.021698,-19.92355,-1.211369,9.960356,0.006713,-0.447490,-1.659471,-0.004712,-0.007475,-1.718738,1.992071,nan,-0.000869,1.551981
-0.007528,0.021636,-20.12692,-1.230669,10.16452,0.006585,-0.447584,-1.670411,-0.001292,-0.007528,-1.729332,2.032905,nan,-0.000671,1.549660
-0.007844,0.021484,-20.66306,-1.251219,10.70091,0.006649,-0.443169,-1.671243,0.003360,-0.007844,-1.728995,2.140183,nan,-0.000431,1.549677
-0.008200,0.021331,-21.12839,-1.272869,11.16671,0.006836,-0.442782,-1.678387,0.004797,-0.008200,-1.735798,2.233341,nan,-0.000313,1.548543
-0.008414,0.021057,-21.94565,-1.295339,11.98385,0.006963,-0.444337,-1.684337,0.003069,-0.008414,-1.741952,2.396771,nan,-0.000260,1.547823
-0.008513,0.020935,-22.26288,-1.315979,12.30175,0.007046,-0.450043,-1.701081,0.001203,-0.008513,-1.759600,2.460350,nan,-0.000280,1.544479
-0.008502,0.020690,-22.76129,-1.335879,12.80047,0.007054,-0.457466,-1.717956,-0.001822,-0.008501,-1.777813,2.560094,nan,-0.000315,1.540887
-0.008594,0.020629,-22.64932,-1.355779,12.68987,0.007128,-0.463804,-1.739874,-0.002276,-0.008594,-1.800624,2.537975,nan,-0.000334,1.536310
-0.008414,0.020263,-23.33795,-1.373549,13.37835,0.006998,-0.474629,-1.758426,-0.006799,-0.008414,-1.821337,2.675669,nan,-0.000374,1.531840
-0.008068,0.019836,-24.31635,-1.387679,14.35592,0.006737,-0.485912,-1.773151,-0.010849,-0.008068,-1.838488,2.871183,nan,-0.000419,1.527565
-0.007867,0.019561,-24.76157,-1.403759,14.80133,0.006561,-0.492274,-1.786897,-0.011345,-0.007867,-1.853426,2.960266,nan,-0.000417,1.524003
-0.007664,0.019256,-25.40222,-1.418849,15.44182,0.006366,-0.495406,-1.793189,-0.010001,-0.007664,-1.860332,3.088365,nan,-0.000396,1.521871
-0.007552,0.019012,-25.95993,-1.435259,15.99958,0.006215,-0.496094,-1.796798,-0.007617,-0.007552,-1.864005,3.199917,nan,-0.000336,1.520556
-0.007618,0.018920,-25.95084,-1.454509,15.99157,0.006231,-0.500425,-1.812736,-0.007185,-0.007618,-1.880523,3.198315,nan,-0.000311,1.517134
-0.008180,0.018432,-27.10443,-1.470089,17.14428,0.005942,-0.498846,-1.804820,-0.005623,-0.008180,-1.872475,3.428855,nan,0.000445,1.518160
-0.008867,0.018127,-27.69101,-1.487669,17.73095,0.005763,-0.501479,-1.809987,-0.006050,-0.008867,-1.878151,3.546190,nan,0.001178,1.516816
-0.009867,0.017791,-28.38718,-1.504469,18.42702,0.005513,-0.505593,-1.815531,-0.007519,-0.009867,-1.884583,3.685404,nan,0.002227,1.515242
-0.010787,0.017547,-28.89230,-1.521328,18.93233,0.005271,-0.511858,-1.826276,-0.009469,-0.010787,-1.896603,3.786467,nan,0.003177,1.512493
-0.011802,0.017364,-29.40451,-1.537298,19.44467,0.004966,-0.520174,-1.839432,-0.012183,-0.011802,-1.911499,3.888935,nan,0.004240,1.509015
-0.012689,0.017181,-29.82047,-1.552928,19.86088,0.004583,-0.529737,-1.855207,-0.015161,-0.012688,-1.929260,3.972176,nan,0.005252,1.504904
-0.013895,0.017059,-30.44955,-1.565458,20.48977,0.003980,-0.543257,-1.872969,-0.019977,-0.013894,-1.950017,4.097955,nan,0.006689,1.499810
-0.015010,0.016937,-31.08743,-1.575718,21.12735,0.003159,-0.559803,-1.893949,-0.025775,-0.015010,-1.974726,4.225469,nan,0.008216,1.493651
-0.016311,0.016937,-31.84030,-1.581578,21.87956,0.002097,-0.582098,-1.919898,-0.033487,-0.016310,-2.005857,4.375913,nan,0.010021,1.485620
-0.017826,0.017181,-33.03546,-1.574078,23.07294,0.000054,-0.621945,-1.959875,-0.047077,-0.017825,-2.055576,4.614589,nan,0.012705,1.472007
-0.018622,0.017517,-33.59555,-1.575228,23.63247,-0.001247,-0.651550,-1.994255,-0.056075,-0.018621,-2.097160,4.726493,nan,0.014141,1.461090
-0.019623,0.018371,-34.60214,-1.558978,24.63725,-0.003565,-0.704368,-2.046278,-0.072409,-0.019622,-2.162816,4.927450,nan,0.016349,1.442824
-0.020179,0.019134,-35.17743,-1.551198,25.21162,-0.005229,-0.746702,-2.089852,-0.084758,-0.020178,-2.217540,5.042324,nan,0.017672,1.427838
-0.020772,0.020812,-36.20697,-1.519248,26.23884,-0.008066,-0.822288,-2.156306,-0.106987,-0.020770,-2.305212,5.247768,nan,0.019625,1.402473
-0.021061,0.022186,-36.79614,-1.500378,26.82673,-0.010005,-0.881636,-2.208687,-0.123762,-0.021060,-2.374851,5.365345,nan,0.020715,1.382442
-0.021246,0.023071,-37.04938,-1.495988,27.07957,-0.011156,-0.921808,-2.246624,-0.134672,-0.021244,-2.424580,5.415915,nan,0.021256,1.368569
-0.020854,0.026702,-38.33310,-1.424748,28.35958,-0.014876,-1.057522,-2.339785,-0.173302,-0.020853,-2.561776,5.671916,nan,0.022631,1.325785
-0.020368,0.029144,-38.93832,-1.387408,28.96305,-0.016830,-1.147443,-2.399030,-0.198417,-0.020367,-2.651880,5.792610,nan,0.023019,1.297626
-0.019382,0.032348,-39.66333,-1.334198,29.68578,-0.018855,-1.261747,-2.463670,-0.230328,-0.019381,-2.758370,5.937155,nan,0.023106,1.262804
-0.017898,0.036560,-40.50909,-1.261588,30.52875,-0.020459,-1.404852,-2.529030,-0.269930,-0.017897,-2.880423,6.105751,nan,0.022703,1.220295
